class,correct,total,accuracy
apple_pie,144,250,0.576000
baby_back_ribs,208,250,0.832000
baklava,219,250,0.876000
beef_carpaccio,225,250,0.900000
beef_tartare,196,250,0.784000
beet_salad,181,250,0.724000
beignets,233,250,0.932000
bibimbap,238,250,0.952000
bread_pudding,205,250,0.820000
breakfast_burrito,156,250,0.624000
bruschetta,199,250,0.796000
caesar_salad,230,250,0.920000
cannoli,115,250,0.460000
caprese_salad,226,250,0.904000
carrot_cake,215,250,0.860000
ceviche,178,250,0.712000
cheese_plate,234,250,0.936000
cheesecake,164,250,0.656000
chicken_curry,198,250,0.792000
chicken_quesadilla,195,250,0.780000
chicken_wings,228,250,0.912000
chocolate_cake,200,250,0.800000
chocolate_mousse,169,250,0.676000
churros,222,250,0.888000
clam_chowder,215,250,0.860000
club_sandwich,243,250,0.972000
crab_cakes,211,250,0.844000
creme_brulee,233,250,0.932000
croque_madame,221,250,0.884000
cup_cakes,180,250,0.720000
deviled_eggs,231,250,0.924000
donuts,220,250,0.880000
dumplings,230,250,0.920000
edamame,249,250,0.996000
eggs_benedict,231,250,0.924000
escargots,209,250,0.836000
falafel,212,250,0.848000
filet_mignon,185,250,0.740000
fish_and_chips,234,250,0.936000
foie_gras,154,250,0.616000
french_fries,221,250,0.884000
french_onion_soup,222,250,0.888000
french_toast,204,250,0.816000
fried_calamari,233,250,0.932000
fried_rice,212,250,0.848000
frozen_yogurt,236,250,0.944000
garlic_bread,181,250,0.724000
gnocchi,110,250,0.440000
greek_salad,224,250,0.896000
grilled_cheese_sandwich,159,250,0.636000
grilled_salmon,211,250,0.844000
guacamole,221,250,0.884000
gyoza,187,250,0.748000
hamburger,178,250,0.712000
hot_and_sour_soup,237,250,0.948000
hot_dog,209,250,0.836000
huevos_rancheros,233,250,0.932000
hummus,200,250,0.800000
ice_cream,172,250,0.688000
lasagna,152,250,0.608000
lobster_bisque,232,250,0.928000
lobster_roll_sandwich,240,250,0.960000
macaroni_and_cheese,189,250,0.756000
macarons,240,250,0.960000
miso_soup,222,250,0.888000
mussels,231,250,0.924000
nachos,201,250,0.804000
omelette,129,250,0.516000
onion_rings,189,250,0.756000
oysters,247,250,0.988000
pad_thai,244,250,0.976000
paella,225,250,0.900000
pancakes,161,250,0.644000
panna_cotta,220,250,0.880000
peking_duck,216,250,0.864000
pho,241,250,0.964000
pizza,227,250,0.908000
pork_chop,62,250,0.248000
poutine,214,250,0.856000
prime_rib,201,250,0.804000
pulled_pork_sandwich,226,250,0.904000
ramen,186,250,0.744000
ravioli,119,250,0.476000
red_velvet_cake,220,250,0.880000
risotto,171,250,0.684000
samosa,188,250,0.752000
sashimi,180,250,0.720000
scallops,186,250,0.744000
seaweed_salad,231,250,0.924000
shrimp_and_grits,207,250,0.828000
spaghetti_bolognese,239,250,0.956000
spaghetti_carbonara,233,250,0.932000
spring_rolls,227,250,0.908000
steak,131,250,0.524000
strawberry_shortcake,148,250,0.592000
sushi,227,250,0.908000
tacos,196,250,0.784000
takoyaki,228,250,0.912000
tiramisu,197,250,0.788000
tuna_tartare,173,250,0.692000
waffles,1,250,0.004000
