class,group,intra_dist,min_inter_dist,nearest_class,separation_ratio
apple_pie,Other,0.742188,0.213257,bread_pudding,0.2873
baby_back_ribs,Other,0.691406,0.295654,steak,0.4276
baklava,Other,0.725586,0.255127,apple_pie,0.3516
beef_carpaccio,Other,0.654785,0.242920,tuna_tartare,0.3710
beef_tartare,Other,0.696289,0.202271,tuna_tartare,0.2905
beet_salad,Other,0.666992,0.261475,beef_carpaccio,0.3920
beignets,Other,0.653320,0.283447,cannoli,0.4339
bibimbap,Other,0.636230,0.338135,ramen,0.5315
bread_pudding,Other,0.706055,0.213257,apple_pie,0.3020
breakfast_burrito,Other,0.726074,0.226807,chicken_quesadilla,0.3124
bruschetta,Other,0.692383,0.254883,caprese_salad,0.3681
caesar_salad,Other,0.649902,0.252441,greek_salad,0.3884
cannoli,Other,0.715820,0.283447,beignets,0.3960
caprese_salad,Other,0.657715,0.254883,bruschetta,0.3875
carrot_cake,Other,0.706543,0.265625,tiramisu,0.3760
ceviche,Other,0.728027,0.284668,tuna_tartare,0.3910
cheese_plate,Other,0.691895,0.395752,foie_gras,0.5720
cheesecake,Other,0.702148,0.222778,tiramisu,0.3173
chicken_curry,Other,0.711914,0.357422,ravioli,0.5021
chicken_quesadilla,Other,0.660645,0.226807,breakfast_burrito,0.3433
chicken_wings,Other,0.655273,0.354980,fried_calamari,0.5417
chocolate_cake,Other,0.713379,0.228760,chocolate_mousse,0.3207
chocolate_mousse,Other,0.714355,0.207764,tiramisu,0.2908
churros,Other,0.735352,0.324707,cannoli,0.4416
clam_chowder,Other,0.665039,0.249512,lobster_bisque,0.3752
club_sandwich,Other,0.653809,0.291504,grilled_cheese_sandwich,0.4459
crab_cakes,Other,0.690918,0.289551,scallops,0.4191
creme_brulee,Other,0.672852,0.259277,panna_cotta,0.3853
croque_madame,Other,0.656250,0.253174,eggs_benedict,0.3858
cup_cakes,Other,0.676758,0.386963,red_velvet_cake,0.5718
deviled_eggs,Other,0.677734,0.347900,caprese_salad,0.5133
donuts,Other,0.692871,0.392334,cup_cakes,0.5662
dumplings,Other,0.577637,0.380615,gyoza,0.6589
edamame,Other,0.560547,0.456299,seaweed_salad,0.8140
eggs_benedict,Other,0.639160,0.253174,croque_madame,0.3961
escargots,Other,0.714844,0.322266,gnocchi,0.4508
falafel,Other,0.750000,0.314941,crab_cakes,0.4199
filet_mignon,Other,0.667480,0.151611,steak,0.2271
fish_and_chips,Other,0.651855,0.370361,fried_calamari,0.5682
foie_gras,Other,0.706543,0.258301,tuna_tartare,0.3656
french_fries,Other,0.624023,0.308350,poutine,0.4941
french_onion_soup,Other,0.673828,0.308105,clam_chowder,0.4572
french_toast,Other,0.679688,0.270996,pancakes,0.3987
fried_calamari,Other,0.675293,0.309570,onion_rings,0.4584
fried_rice,Other,0.671875,0.336670,pad_thai,0.5011
frozen_yogurt,Other,0.694824,0.280762,ice_cream,0.4041
garlic_bread,Other,0.708008,0.307861,grilled_cheese_sandwich,0.4348
gnocchi,Other,0.703613,0.197510,ravioli,0.2807
greek_salad,Other,0.644531,0.252441,caesar_salad,0.3917
grilled_cheese_sandwich,Other,0.695312,0.291504,club_sandwich,0.4192
grilled_salmon,Other,0.702148,0.265625,pork_chop,0.3783
guacamole,Other,0.667480,0.312256,nachos,0.4678
gyoza,Other,0.661621,0.268799,spring_rolls,0.4063
hamburger,Other,0.683594,0.297852,pulled_pork_sandwich,0.4357
hot_and_sour_soup,Other,0.617188,0.277832,miso_soup,0.4502
hot_dog,Other,0.677246,0.381592,hamburger,0.5634
huevos_rancheros,Other,0.701172,0.253662,breakfast_burrito,0.3618
hummus,Other,0.743652,0.336182,falafel,0.4521
ice_cream,Other,0.733887,0.280762,frozen_yogurt,0.3826
lasagna,Other,0.693848,0.264160,ravioli,0.3807
lobster_bisque,Other,0.648438,0.249512,clam_chowder,0.3848
lobster_roll_sandwich,Other,0.669434,0.374268,pulled_pork_sandwich,0.5591
macaroni_and_cheese,Other,0.702637,0.303467,gnocchi,0.4319
macarons,Other,0.657715,0.439941,cup_cakes,0.6689
miso_soup,Other,0.648438,0.277832,hot_and_sour_soup,0.4285
mussels,Other,0.614746,0.355225,oysters,0.5778
nachos,Other,0.681641,0.293701,huevos_rancheros,0.4309
omelette,Other,0.698730,0.292236,eggs_benedict,0.4182
onion_rings,Other,0.646973,0.309570,fried_calamari,0.4785
oysters,Other,0.557129,0.355225,mussels,0.6376
pad_thai,Other,0.623535,0.336670,fried_rice,0.5399
paella,Other,0.693359,0.326904,shrimp_and_grits,0.4715
pancakes,Other,0.637207,0.270996,french_toast,0.4253
panna_cotta,Other,0.688477,0.234985,chocolate_mousse,0.3413
peking_duck,Other,0.729492,0.331299,gyoza,0.4541
pho,Other,0.578125,0.283203,ramen,0.4899
pizza,Other,0.653320,0.377197,lasagna,0.5774
pork_chop,Other,0.711426,0.212769,steak,0.2991
poutine,Other,0.669922,0.308350,french_fries,0.4603
prime_rib,Other,0.680176,0.203979,steak,0.2999
pulled_pork_sandwich,Other,0.677734,0.297852,hamburger,0.4395
ramen,Other,0.619141,0.283203,pho,0.4574
ravioli,Other,0.712402,0.197510,gnocchi,0.2772
red_velvet_cake,Other,0.639648,0.273682,chocolate_cake,0.4279
risotto,Other,0.715332,0.267822,gnocchi,0.3744
samosa,Other,0.708496,0.269531,spring_rolls,0.3804
sashimi,Other,0.593750,0.290039,sushi,0.4885
scallops,Other,0.689941,0.274658,foie_gras,0.3981
seaweed_salad,Other,0.629883,0.378418,beet_salad,0.6008
shrimp_and_grits,Other,0.670898,0.265869,gnocchi,0.3963
spaghetti_bolognese,Other,0.613281,0.263916,spaghetti_carbonara,0.4303
spaghetti_carbonara,Other,0.627441,0.263916,spaghetti_bolognese,0.4206
spring_rolls,Other,0.671875,0.268799,gyoza,0.4001
steak,Other,0.688965,0.151611,filet_mignon,0.2201
strawberry_shortcake,Other,0.678223,0.228882,cheesecake,0.3375
sushi,Other,0.605957,0.290039,sashimi,0.4786
tacos,Other,0.652832,0.290771,chicken_quesadilla,0.4454
takoyaki,Other,0.683105,0.320801,gyoza,0.4696
tiramisu,Other,0.687012,0.207764,chocolate_mousse,0.3024
tuna_tartare,Other,0.675781,0.202271,beef_tartare,0.2993
waffles,Other,0.664062,0.291260,pancakes,0.4386
