class,correct,total,accuracy
apple_pie,143,250,0.572000
baby_back_ribs,196,250,0.784000
baklava,211,250,0.844000
beef_carpaccio,220,250,0.880000
beef_tartare,174,250,0.696000
beet_salad,173,250,0.692000
beignets,223,250,0.892000
bibimbap,231,250,0.924000
bread_pudding,176,250,0.704000
breakfast_burrito,187,250,0.748000
bruschetta,198,250,0.792000
caesar_salad,232,250,0.928000
cannoli,216,250,0.864000
caprese_salad,210,250,0.840000
carrot_cake,221,250,0.884000
ceviche,181,250,0.724000
cheese_plate,222,250,0.888000
cheesecake,186,250,0.744000
chicken_curry,185,250,0.740000
chicken_quesadilla,221,250,0.884000
chicken_wings,234,250,0.936000
chocolate_cake,168,250,0.672000
chocolate_mousse,188,250,0.752000
churros,208,250,0.832000
clam_chowder,212,250,0.848000
club_sandwich,216,250,0.864000
crab_cakes,211,250,0.844000
creme_brulee,232,250,0.928000
croque_madame,220,250,0.880000
cup_cakes,182,250,0.728000
deviled_eggs,227,250,0.908000
donuts,214,250,0.856000
dumplings,228,250,0.912000
edamame,249,250,0.996000
eggs_benedict,229,250,0.916000
escargots,209,250,0.836000
falafel,191,250,0.764000
filet_mignon,160,250,0.640000
fish_and_chips,232,250,0.928000
foie_gras,197,250,0.788000
french_fries,224,250,0.896000
french_onion_soup,195,250,0.780000
french_toast,213,250,0.852000
fried_calamari,228,250,0.912000
fried_rice,224,250,0.896000
frozen_yogurt,215,250,0.860000
garlic_bread,200,250,0.800000
gnocchi,166,250,0.664000
greek_salad,209,250,0.836000
grilled_cheese_sandwich,175,250,0.700000
grilled_salmon,196,250,0.784000
guacamole,219,250,0.876000
gyoza,211,250,0.844000
hamburger,170,250,0.680000
hot_and_sour_soup,228,250,0.912000
hot_dog,212,250,0.848000
huevos_rancheros,180,250,0.720000
hummus,201,250,0.804000
ice_cream,115,250,0.460000
lasagna,170,250,0.680000
lobster_bisque,211,250,0.844000
lobster_roll_sandwich,231,250,0.924000
macaroni_and_cheese,183,250,0.732000
macarons,241,250,0.964000
miso_soup,216,250,0.864000
mussels,236,250,0.944000
nachos,220,250,0.880000
omelette,207,250,0.828000
onion_rings,205,250,0.820000
oysters,242,250,0.968000
pad_thai,238,250,0.952000
paella,218,250,0.872000
pancakes,212,250,0.848000
panna_cotta,207,250,0.828000
peking_duck,208,250,0.832000
pho,228,250,0.912000
pizza,228,250,0.912000
pork_chop,155,250,0.620000
poutine,232,250,0.928000
prime_rib,191,250,0.764000
pulled_pork_sandwich,218,250,0.872000
ramen,209,250,0.836000
ravioli,157,250,0.628000
red_velvet_cake,213,250,0.852000
risotto,183,250,0.732000
samosa,192,250,0.768000
sashimi,236,250,0.944000
scallops,187,250,0.748000
seaweed_salad,241,250,0.964000
shrimp_and_grits,206,250,0.824000
spaghetti_bolognese,234,250,0.936000
spaghetti_carbonara,235,250,0.940000
spring_rolls,219,250,0.876000
steak,121,250,0.484000
strawberry_shortcake,187,250,0.748000
sushi,215,250,0.860000
tacos,208,250,0.832000
takoyaki,201,250,0.804000
tiramisu,178,250,0.712000
tuna_tartare,146,250,0.584000
waffles,213,250,0.852000
